epoch,loss_G,loss_D,loss_pix,loss_edge,loss_lap,loss_sam,loss_color,val_psnr,val_ssim,val_sam_deg,val_ndvi_mae,overfit_flag
1,0.117635,0.485885,0.01057,0.048682,0.010975,0.00789,0.021732,38.3735,0.957952,1.6112,0.030552,
2,0.086745,0.607453,0.007248,0.04328,0.009249,0.000813,0.012628,38.1098,0.959555,1.6855,0.03106,
3,0.083404,0.634044,0.006954,0.042725,0.009132,0.000745,0.011747,38.8419,0.962997,1.5909,0.028958,
4,0.08141,0.645783,0.006753,0.042435,0.009066,0.000677,0.011041,38.653,0.961209,1.5844,0.029255,
5,0.080257,0.64739,0.006652,0.042322,0.009112,0.000685,0.010699,38.4878,0.959509,1.6079,0.030254,⚠ VAL_PLATEAU
6,0.07948,0.643688,0.006576,0.04225,0.009142,0.000653,0.010404,38.7832,0.955327,1.7834,0.036208,
7,0.078819,0.637498,0.006498,0.042287,0.009175,0.000649,0.009984,39.1915,0.962416,1.512,0.028195,
8,0.078364,0.635057,0.00647,0.042299,0.009177,0.000635,0.009899,38.3787,0.953564,1.8498,0.035481,
9,0.07765,0.63609,0.006392,0.042269,0.009191,0.000612,0.009552,38.8592,0.959952,1.5656,0.030456,
10,0.077114,0.634754,0.006335,0.042108,0.009158,0.000567,0.009368,38.665,0.96093,1.5252,0.028663,
11,0.076847,0.635573,0.006289,0.042087,0.009163,0.000559,0.009213,38.9485,0.963659,1.4945,0.028009,
12,0.076259,0.633967,0.006231,0.04197,0.009186,0.000562,0.008962,38.9371,0.959335,1.6241,0.029705,
13,0.075869,0.630615,0.006198,0.041989,0.009241,0.000582,0.008824,38.9811,0.963357,1.5274,0.029436,
14,0.075771,0.623747,0.00616,0.04195,0.009221,0.000549,0.008672,38.9576,0.962528,1.5526,0.029941,
15,0.075448,0.624239,0.006117,0.041903,0.00929,0.000547,0.008494,38.8935,0.963523,1.5491,0.029314,⚠ VAL_PLATEAU
16,0.074973,0.619738,0.006081,0.041819,0.009241,0.000538,0.008379,38.6309,0.961783,1.5994,0.031484,⚠ VAL_PLATEAU
17,0.074834,0.615147,0.006055,0.041834,0.009301,0.000523,0.008202,38.9358,0.962491,1.5309,0.029658,
18,0.074712,0.607577,0.006027,0.041784,0.009234,0.00053,0.008113,38.9016,0.963363,1.4913,0.028422,
19,0.074562,0.619751,0.006013,0.041816,0.009237,0.000537,0.00802,38.9351,0.963313,1.5085,0.029077,
20,0.074466,0.621812,0.006003,0.041791,0.009263,0.000542,0.007959,38.954,0.963543,1.4978,0.02879,
