epoch,loss_G,loss_D,loss_pixel,val_psnr,val_ssim
1,0.091419,0.0,0.091419,22.7357,0.376614
2,0.044439,0.0,0.044439,24.9434,0.50377
3,0.035199,0.0,0.035199,26.9297,0.630795
4,0.028728,0.0,0.028728,28.105,0.696331
5,0.026024,0.0,0.026024,28.74,0.743877
6,0.024431,0.0,0.024431,29.3735,0.770164
7,0.032111,0.327874,0.023701,29.2716,0.775801
8,0.041301,0.191281,0.027197,27.8268,0.729435
9,0.045888,0.264654,0.031706,26.7596,0.675216
10,0.044351,0.27539,0.031023,27.3164,0.698581
11,0.04278,0.228667,0.029407,28.4898,0.775884
12,0.042795,0.21916,0.029319,27.7311,0.745056
13,0.045922,0.189778,0.031921,27.8115,0.739893
14,0.046007,0.173975,0.030983,26.1701,0.655223
15,0.04616,0.150093,0.030586,27.4727,0.705426
16,0.049684,0.171831,0.034611,25.7049,0.630237
17,0.049823,0.180954,0.034444,27.0599,0.683716
18,0.04748,0.267679,0.034263,27.6884,0.688473
19,0.041266,0.258993,0.029258,28.0687,0.732376
20,0.041761,0.247561,0.0299,28.5286,0.748666
21,0.039825,0.291537,0.028864,28.0912,0.718018
22,0.040509,0.324537,0.029949,26.9753,0.668113
23,0.044169,0.243636,0.032726,27.6825,0.697719
24,0.039372,0.357299,0.030146,27.6356,0.703577
25,0.03901,0.241759,0.028566,28.3594,0.734096
26,0.037702,0.267974,0.027808,28.2939,0.727605
27,0.037384,0.312167,0.028291,28.0683,0.713032
28,0.03728,0.337385,0.028943,27.9466,0.706026
29,0.037435,0.348264,0.029342,27.8607,0.701027
30,0.037124,0.350499,0.029403,27.9066,0.702259
31,0.060665,0.5215,0.02336,30.2564,0.785006
32,0.060418,0.204145,0.022162,30.4643,0.797214
33,0.060945,0.097311,0.021742,30.65,0.805811
34,0.061608,0.084337,0.02162,30.7302,0.811147
35,0.061432,0.075768,0.021343,30.7934,0.816807
36,0.061835,0.066594,0.021259,30.8557,0.820996
37,0.061248,0.05485,0.020884,30.9506,0.825601
38,0.061081,0.052624,0.020748,30.9261,0.826884
39,0.062114,0.057815,0.021061,30.9539,0.827983
40,0.061376,0.051802,0.02072,31.0013,0.829085
41,0.061559,0.051002,0.020862,31.0066,0.829644
42,0.061047,0.048381,0.020602,31.0394,0.82999
31,0.692513,0.040435,0.022828,31.033,0.824848
